evidence_id,domain,study_type,peer_reviewed,original_empirical,population,n,stimulus,conditions_design,measure,effect,limitations,directness,doi,pmid,title,year,authors,journal
SPA-06,"Spatial acuity, temporal resolution, and display rendering",behavioral,yes,yes,"awake domestic cats with selective optic-nerve damage",NR,"moving spot at varied speed and contrast","within-animal lesion comparison","motion discrimination and acuity","fast-motion performance fell after Y-fiber loss while acuity was often preserved","lesion model; very small cohort; not normal viewing",supporting,,3446784,"Function of the Y optic nerve fibres in the cat: do they contribute to acuity and ability to discriminate fast motion?",1988,"Milleret C; Buser P",Journal of Physiology
SPA-07,"Spatial acuity, temporal resolution, and display rendering",behavioral,yes,yes,"awake domestic cats",2,"high-contrast gratings","unlimited-time two-choice detection and orientation task","maximum grating acuity","15 and 20 cycles/degree under favorable conditions","n=2; unusually favorable setup; not a population estimate",supporting,"10.1016/j.exer.2013.08.004",23978601,"The effects of time, luminance, and high contrast targets: revisiting grating acuity in the domestic cat",2013,"Clark DL; Clark RA",Experimental Eye Research
SPA-08,"Spatial acuity, temporal resolution, and display rendering",behavioral-developmental,yes,yes,"normally reared and visually deprived kittens",NR,"moving targets laser spots and patterned stimuli","longitudinal arena observation","gaze following and striking","visuomotor tracking could emerge separately from fine spatial vision","developmental/deprivation model; small groups; no welfare endpoint",supporting,"10.3389/fnins.2021.781516",,"Documentation of the development of various visuomotor responses in typically reared kittens and those reared with early selected visual exposure by use of a new procedure",2021,"MacNeill K; Myatt A; Duffy KR; Mitchell DE",Frontiers in Neuroscience
MOT-01,"Motion, shape, trajectory, occlusion, and visual cognition",behavioral,yes,yes,"awake domestic cats and dogs",NR,"visible and hidden objects","object-displacement choice tasks","search choice","cats searched for objects after displacement but performance depended on task","older comparative task; sample not in index; reward learning",supporting,"10.3758/BF03212035",,"Object permanence in cats and dogs",1981,"Triana E; Pasnak R",Animal Learning & Behavior
MOT-02,"Motion, shape, trajectory, occlusion, and visual cognition",behavioral-neurology,yes,yes,"awake domestic cats",NR,"patterns and moving targets","selective cortical direction-selectivity loss; within-animal tests","pattern and motion discrimination","direction-selective cortical function contributed to motion performance","lesion model and small cohort; not preference",supporting,"10.1523/JNEUROSCI.06-04-00938.1986",,"Pattern and motion vision in cats with selective loss of cortical directional selectivity",1986,"Pasternak T; Leinen LJ",Journal of Neuroscience
MOT-03,"Motion, shape, trajectory, occlusion, and visual cognition",behavioral,yes,yes,"awake domestic cats and dogs",NR,"hidden rewards and search locations","comparative working-memory tasks","search accuracy","species and delay affected search strategy","comparative and trained; not screen content",supporting,"10.3758/BF03198962",,"Search behavior in cats and dogs: interspecific differences in working memory and spatial cognition",1996,"Doré FY; Fiset S; Goulet S; Dumas MC; Gagnon S",Animal Learning & Behavior
MOT-04,"Motion, shape, trajectory, occlusion, and visual cognition",behavioral,yes,yes,"pet domestic cats",30,"containers with congruent or incongruent shaking sounds","expectancy-violation trials in homes/lab","looking duration","cats used sound to infer an unseen object's presence","modest cohort; looking-time inference; auditory cue central",supporting,"10.1007/s10071-016-1001-6",,"There's no ball without noise: cats' prediction of an object from noise",2016,"Takagi S; Arahori M; Chijiiwa H; Tsuzuki M; Hataji Y; Fujita K",Animal Cognition
MOT-05,"Motion, shape, trajectory, occlusion, and visual cognition",behavioral,yes,yes,"pet domestic cats and dogs",NR,"human pointing gestures and inaccessible food","object-choice and impossible-task tests","choice and gaze","cats used human pointing but differed from dogs in help-seeking gaze","human-directed task; food motivation; no media outcome",supporting,"10.1037/0735-7036.119.2.179",,"A comparative study of the use of visual communicative signals in interactions between dogs (Canis familiaris) and humans and cats (Felis catus) and humans",2005,"Miklósi Á; Pongrácz P; Lakatos G; Topál J; Csányi V",Journal of Comparative Psychology
MOT-06,"Motion, shape, trajectory, occlusion, and visual cognition",behavioral,yes,yes,"pet domestic cats",50,"owner voice played from changing hidden speaker locations","expectancy-violation playback","orientation and surprise ratings","cats mentally tracked an unseen owner's location","owner-voice context; observer coding; not prey media",supporting,"10.1371/journal.pone.0257611",34710171,"Socio-spatial cognition in cats: mentally mapping owner's location from voice",2021,"Takagi S; Chijiiwa H; Arahori M; Saito A; Fujita K; Kuroshima H",PLOS ONE
MOT-07,"Motion, shape, trajectory, occlusion, and visual cognition",behavioral-screen,yes,yes,"pet domestic cats and dogs","30 cats; 28 dogs","two animated triangles with chasing or independent trajectories","two 10-second screen trials with audiovisual attention grabber","looking duration and side","cats' looking differed by motion relationship and trial","selected analyzed cohort; owners held cats facing screen; short trials; attention not preference",direct,"10.1007/s10071-022-01643-3",35780462,"Chasing perception in domestic cats and dogs",2022,"Abdai J; Uccheddu S; Gácsi M; Miklósi Á",Animal Cognition
MOT-08,"Motion, shape, trajectory, occlusion, and visual cognition",behavioral-community-science,yes,yes,"pet domestic cats and dogs",NR,"Rotating Snakes motion illusion and controls","owner-administered presentation; coded video","orientation locomotion and interaction","some animals responded to illusion-like motion cues","owner administration; attrition; species pooled in parts; pseudoreplication risk",supporting,"10.3390/ani12243562",,"Seeing things: a community science investigation into motion illusion susceptibility in domestic cats (Felis silvestris catus) and dogs (Canis lupus familiaris)",2022,"Smith GE; Chouinard PA; Lin I; Tsoi KT; Agrillo C; Byosiere SE",Animals
AUD-01,"Hearing, localization, frequency, bandwidth, and audiovisual congruence",behavioral,yes,yes,"awake domestic cats",NR,"pure tones across frequency","conditioned audiometry","hearing threshold","mapped a broad audible range with frequency-dependent sensitivity","trained small cohort; threshold does not imply preference; no ultrasonic recommendation",supporting,"10.1016/0378-5955(85)90100-5",,"Hearing range of the domestic cat",1985,"Heffner RS; Heffner HE",Hearing Research
AUD-02,"Hearing, localization, frequency, bandwidth, and audiovisual congruence",behavioral,yes,yes,"awake domestic cats",5,"broadband noise and pure tones from 0.5 to 32 kHz","minimum audible-angle localization in horizontal and vertical planes","localization accuracy","broadband sounds supported the smallest localization angles","n=4-5 by plane; trained task; free-field lab speakers",supporting,"10.1016/0378-5955(87)90140-7",3680067,"The auditory spatial acuity of the domestic cat in the interaural horizontal and median vertical planes",1987,"Martin RL; Webster WR",Hearing Research
AUD-03,"Hearing, localization, frequency, bandwidth, and audiovisual congruence",behavioral,yes,yes,"awake domestic cats",3,"broadband sounds at varied azimuth and elevation","approach-to-source localization tasks","localization accuracy","cats localized frontal sounds more accurately than peripheral sources","n=3; trained animals; controlled room",supporting,"10.1523/JNEUROSCI.18-06-02147.1998",,"Behavioral studies of sound localization in the cat",1998,"Populin LC; Yin TCT",Journal of Neuroscience
AUD-04,"Hearing, localization, frequency, bandwidth, and audiovisual congruence",neurobehavioral,yes,yes,"awake behaving cats",NR,"free-field broadband sounds","cortical recording during localization","neural spatial coding and behavior","awake cortical responses represented auditory space","invasive trained cohort; no content preference",indirect,"10.1523/JNEUROSCI.23-25-08649.2003",,"Representation of auditory space by cortical neurons in awake cats",2003,"Mickey BJ; Middlebrooks JC",Journal of Neuroscience
AUD-05,"Hearing, localization, frequency, bandwidth, and audiovisual congruence",behavioral-audiovisual,yes,yes,"awake domestic cats",NR,"auditory and visual targets","free-orienting gaze-shift task","head and eye movement","modality and target location shaped orienting latency and accuracy","small trained cohort; attention endpoint only",direct,"10.1007/s10162-013-0401-4",,"Gaze shifts to auditory and visual stimuli in cats",2013,"Ruhland JL; Yin TCT; Tollin DJ",Journal of the Association for Research in Otolaryngology
AUD-06,"Hearing, localization, frequency, bandwidth, and audiovisual congruence",behavioral,yes,yes,"pet domestic cats",20,"owner and stranger voices","habituation-dishabituation playback","ear and head orientation","cats discriminated owners' voices despite limited overt response","n=20; response mostly orienting; not enjoyment",supporting,"10.1007/s10071-013-0620-4",23525707,"Vocal recognition of owners by domestic cats (Felis catus)",2013,"Saito A; Shinozuka K",Animal Cognition
AUD-07,"Hearing, localization, frequency, bandwidth, and audiovisual congruence",behavioral,yes,yes,"pet and cat-café domestic cats",78,"cat's name and matched nouns/names","habituation-dishabituation playback","ear head tail and body response","cats discriminated their own names under several speaker conditions","some owner/café context differences; orienting not preference",supporting,"10.1038/s41598-019-40616-4",30948740,"Domestic cats (Felis catus) discriminate their names from other words",2019,"Saito A; Shinozuka K; Ito Y; Hasegawa T",Scientific Reports
AUD-08,"Hearing, localization, frequency, bandwidth, and audiovisual congruence",behavioral,yes,yes,"pet domestic cats",47,"music constructed from feline-affiliative tempos and frequency ranges versus human music","counterbalanced playback in home-like setting","approach orientation rubbing purring","cats approached and interacted sooner with species-appropriate music","novel composer-defined stimulus; behavioral preference proxy; exact playback context matters",direct,"10.1016/j.applanim.2015.02.012",,"Cats prefer species-appropriate music",2015,"Snowdon CT; Teie D; Savage M",Applied Animal Behaviour Science
HUN-01,"Hunting, prey preferences, object play, novelty, and capture",behavioral,yes,yes,"domestic cats",NR,"live prey and prey-like play objects","observational and experimental comparisons","predatory and play sequences","predatory play shared components with predation but was not identical","older small cohort; live-prey ethics and context limit product transfer",supporting,"10.1016/0003-3472(79)90129-5",,"Predation and predatory play behaviour of domestic cats",1979,"Biben M",Animal Behaviour
HUN-02,"Hunting, prey preferences, object play, novelty, and capture",developmental-behavioral,yes,yes,"domestic kittens",NR,"social and locomotor opportunities","longitudinal observation","play frequency and form","locomotor play changed systematically during development","developmental cohort; no screen or welfare outcome",supporting,"10.1016/S0003-3472(85)80073-7",,"The ontogeny of locomotor play behaviour in the domestic cat",1985,"Martin P; Bateson P",Animal Behaviour
HUN-03,"Hunting, prey preferences, object play, novelty, and capture",developmental-behavioral,yes,yes,"domestic kittens and mothers",NR,"maternal food ration manipulation","litter-level developmental comparison","play behavior","maternal rationing increased kitten play","litter effects and historical husbandry; not adult media",indirect,"10.1016/S0003-3472(05)80532-9",,"Play in the domestic cat is enhanced by rationing of the mother during lactation",1990,"Bateson P; Mendl M; Feaver J",Animal Behaviour
HUN-04,"Hunting, prey preferences, object play, novelty, and capture",behavioral,yes,yes,"adult domestic cats",NR,"small prey-like objects under fed and food-deprived states","within-cat repeated exposure","play bouts and handling","hunger altered but did not wholly explain object play","small laboratory cohort; object play is not welfare benefit",supporting,"10.1016/S0168-1591(97)00136-6",,"The influence of hunger on object play by adult domestic cats",1998,"Hall SL; Bradshaw JWS",Applied Animal Behaviour Science
HUN-05,"Hunting, prey preferences, object play, novelty, and capture",behavioral,yes,yes,"adult domestic cats",NR,"prey-like toys repeatedly presented then changed","habituation and disinhibition trials","play duration and response recovery","play declined with repetition and recovered to novel features","small laboratory cohort; toy transfer to video provisional",direct,"10.1016/S0168-1591(02)00153-3",,"Object play in adult domestic cats: the roles of habituation and disinhibition",2002,"Hall SL; Bradshaw JWS; Robinson IH",Applied Animal Behaviour Science
HUN-06,"Hunting, prey preferences, object play, novelty, and capture",field-observational,yes,yes,"free-ranging domestic cats and owner-reported hunters","multiple datasets; 15 cats directly observed hunting","prey returns and naturally encountered prey","owner records and more than 400 hours of direct field observation","hunt attempts captures and prey class","individual cats differed substantially in hunting and prey specialization","multiple cohorts and methods; prey-return and observation biases; outdoor transfer limit",supporting,"10.1016/j.applanim.2014.09.021",,"Individual hunting behaviour and prey specialisation in the house cat Felis catus: implications for conservation and management",2015,"Dickman CR; Newsome TM",Applied Animal Behaviour Science
HUN-07,"Hunting, prey preferences, object play, novelty, and capture",preference,yes,yes,"pet and shelter domestic cats",50,"human interaction food scent and toys","free-choice preference assessment","time near and interaction","individual preferences varied; many cats favored social interaction or food over toys","short tests; shelter/home mix; motivation and deprivation controlled imperfectly",supporting,"10.1016/j.beproc.2017.03.016",,"Social interaction, food, scent or toys? A formal assessment of domestic pet and shelter cat (Felis silvestris catus) preferences",2017,"Vitale Shreve KR; Mehrkam LR; Udell MAR",Behavioural Processes
HUN-08,"Hunting, prey preferences, object play, novelty, and capture",randomized-field,yes,yes,"owned hunting domestic cats",355,"object play and high-meat food interventions","clustered before-after controlled household trial","prey returned home","daily object play reduced reported prey returns","prey-return proxy misses unreturned kills; owner adherence; not video play",supporting,"10.1016/j.cub.2020.12.044",33577746,"Provision of high meat content food and object play reduce predation of wild animals by domestic cats Felis catus",2021,"Cecchetti M; Crowley SL; Goodwin CED; McDonald RA",Current Biology
VID-01,"Television, tablet, and video enrichment",controlled-enrichment,yes,yes,"shelter domestic cats",125,"blank screen; humans; inanimate movement; animate prey movement","random allocation; 3 hours/day for 3 days; CRT video","screen orientation and activity scan samples","cats watched 6.10% of observations; moving content drew more attention; attention declined across days","shelter transfer limit; CRT-era; between-cat groups; attention not welfare or preference",direct,"10.1016/j.applanim.2007.11.002",,"The influence of visual stimulation on the behaviour of cats housed in a rescue shelter",2008,"Ellis SLH; Wells DL",Applied Animal Behaviour Science
VID-02,"Television, tablet, and video enrichment",behavioral-screen,yes,yes,"awake domestic cats",NR,"small illuminated target moving on a translucent screen","rewarded reaching toward quasi-random Lissajous trajectories","reach latency and accuracy","cats performed visually guided reaches to unpredictable moving targets","small highly trained cohort; custom apparatus; no enrichment or welfare measure",direct,"10.1016/0166-4328(84)90004-4",6696786,"Visually guided movements in the cat: a test using a randomly moving target",1984,"Fabre-Thorpe M; Viévard A; André C; Fuzellier J; Buser P",Behavioural Brain Research
VID-03,"Television, tablet, and video enrichment",behavioral-screen,yes,yes,"pattern-deprived and control domestic cats",6,"moving and stationary random-dot patterns on a screen","two-choice food-reward task","motion detection accuracy","early pattern deprivation impaired global motion detection","n=6 including only 4 controls; deprivation model; no enrichment outcome",direct,"10.1016/S0166-4328(01)00456-9",,"Global motion detection is impaired in cats deprived early of pattern vision",2002,"Burnat K; Vandenbussche E; Zernicki B",Behavioural Brain Research
VID-04,"Television, tablet, and video enrichment",neurobehavioral-screen,yes,yes,"awake domestic cats",2,"optic-flow dots on a CRT stimulation screen","visual fixation with chronic neural recording","fixation and caudate activity","screen onset offset and reward phase modulated neuronal activity","n=2; invasive and highly trained; no preference or welfare endpoint",indirect,"10.1371/journal.pone.0142526",26544604,"Activity of caudate nucleus neurons in a visual fixation paradigm in behaving cats",2015,"Nagypál T; Gombkötő P; Barkóczi B; Benedek G; Nagy A",PLOS ONE
VID-05,"Television, tablet, and video enrichment",community-science-media,yes,yes,"pet domestic cats in online videos",NR,"mirrors and phone augmented-reality filters","coded public TikTok and YouTube clips","behavioral sequence and response clusters","little evidence that cats understood reflective images; responses varied","selection and owner-posting bias; uncontrolled clips; 2025 exploratory study",supporting,"10.26451/abc.12.02.05.2025",,"Using online media to study animal cognition: domestic cat responses to reflective images",2025,"Kim Y; Johns P",Animal Behavior and Cognition
WEL-01,"Welfare, frustration, habituation, stress, and safety",experimental,yes,yes,"laboratory domestic cats",NR,"unpredictable husbandry and housing stressors","behavioral and physiological comparison","behavior cortisol and health","stressors changed behavior and physiological measures","laboratory housing; older methods; no screens",supporting,"10.1016/0168-1591(93)90062-T",,"Behavioral and physiological correlates of stress in laboratory cats",1993,"Carlstead K; Brown JL; Strawn W",Applied Animal Behaviour Science
WEL-02,"Welfare, frustration, habituation, stress, and safety",observational,yes,yes,"boarding-cattery domestic cats",NR,"single pair and group housing","longitudinal confinement observation","Cat-Stress-Score and behavior","adaptation varied with housing and individual","cattery transfer limit; observational confounding",supporting,"10.1017/S0962728600019837",,"Stress and adaptation of cats housed singly, in pairs and in groups in boarding catteries",1997,"Kessler MR; Turner DC",Animal Welfare
WEL-03,"Welfare, frustration, habituation, stress, and safety",observational,yes,yes,"shelter domestic cats",NR,"single versus group housing and socialization history","repeated behavioral scoring","Cat-Stress-Score","socialization and housing context affected stress trajectories","shelter context; scoring subjectivity; no screen exposure",supporting,"10.1017/S0962728600021163",,"Socialization and stress in cats housed singly and in groups in animal shelters",1999,"Kessler MR; Turner DC",Animal Welfare
WEL-04,"Welfare, frustration, habituation, stress, and safety",observational,yes,yes,"shelter domestic cats",120,"routine shelter confinement","prospective repeated observation","urinary cortisol and behavior","physiological and behavioral stress measures were related but not interchangeable","shelter transfer limit; intake health and history vary",supporting,"10.2460/javma.2005.226.548",15742697,"Assessment of stress levels among cats in four animal shelters",2005,"McCobb EC; Patronek GJ; Marder A; Dinnage JD; Stone MS",JAVMA
WEL-05,"Welfare, frustration, habituation, stress, and safety",experimental,yes,yes,"healthy cats and cats with interstitial cystitis",32,"unusual external events and routine disruptions","77-week prospective observation; 12 healthy cats and 20 cats with FIC","sickness behaviors food intake and elimination","both groups showed more sickness behaviors during unusual external events","clinical colony; bundled external events; age effects; not video-specific",supporting,"10.2460/javma.238.1.67",21194324,"Sickness behaviors in response to unusual external events in healthy cats and cats with feline interstitial cystitis",2011,"Stella JL; Lord LK; Buffington CAT",JAVMA
WEL-06,"Welfare, frustration, habituation, stress, and safety",experimental,yes,yes,"domestic cats in enriched and unenriched conditions",NR,"housing and husbandry stressors","repeated-measures behavioral and physiological study","activity sickness behavior and stress markers","predictability and environmental conditions altered stress-linked outcomes","colony context; multiple simultaneous stressors",supporting,"10.1016/j.applanim.2012.10.014",,"Effects of stressors on the behavior and physiology of domestic cats",2013,"Stella J; Croney C; Buffington T",Applied Animal Behaviour Science
WEL-07,"Welfare, frustration, habituation, stress, and safety",randomized-shelter,yes,yes,"newly admitted shelter cats",19,"hiding box versus control","randomized parallel trial over 14 days","Cat-Stress-Score","hiding-box cats adapted faster by behavioral score","n=19; shelter-specific; behavioral score only",supporting,"10.1016/j.applanim.2014.09.002",,"Will a hiding box provide stress reduction for shelter cats?",2014,"Vinke CM; Godijn LM; van der Leij WJR",Applied Animal Behaviour Science
WEL-08,"Welfare, frustration, habituation, stress, and safety",review,yes,no,"owned domestic cats",NA,"household stressors","narrative synthesis","behavior and health outcomes","chronic or repeated stress can present through varied behavioral change","review; causal evidence heterogeneous; not screen-specific",supporting,"10.1177/1098612X15590867",,"Stress in owned cats: behavioural changes and welfare implications",2015,"Amat M; Camps T; Manteca X",Journal of Feline Medicine and Surgery
IND-01,"Age, health, experience, and individual differences",developmental,yes,yes,"domestic kittens",22,"light sound touch and spatial challenges","longitudinal observation through 12 weeks","onset of sensory and motor responses","visual and auditory responses developed at different ages with individual spread","n=22; historical husbandry; developmental capacity only",supporting,"10.1258/002367780780937472",,"Sensory development of Felis catus",1980,"Beaver BV",Laboratory Animals
IND-02,"Age, health, experience, and individual differences",field-observational,yes,yes,"owned domestic cats",416,"validated owner questionnaire","cross-sectional factor analysis","personality dimensions","six owner-perceived personality dimensions emerged","owner-report and sampling bias; traits are not content profiles",supporting,"10.1016/j.beproc.2017.02.020",,"Assessment of domestic cat personality, as perceived by 416 owners, suggests six dimensions",2017,"Bennett PC; Rutter NJ; Woodhead JK; Howell TJ",Behavioural Processes
IND-03,"Age, health, experience, and individual differences",behavioral,yes,yes,"owned domestic cats",42,"three motor tasks including food retrieval","repeated trials; sex and consistency compared","left versus right paw use","many cats showed stable individual paw preferences with sex-associated direction","modest cohort; motor laterality does not imply content preference",supporting,"10.1016/j.anbehav.2009.06.010",,"Lateralized behaviour in the domestic cat Felis silvestris catus",2009,"Wells DL; Millsopp S",Animal Behaviour
IND-04,"Age, health, experience, and individual differences",clinical-review,yes,no,"aging domestic cats",NA,"age-related clinical and behavioral evidence","narrative review","sensory cognitive and medical changes","aging affects multiple systems relevant to behavior","review; heterogeneous evidence; not a screening tool",supporting,"10.1177/1098612X16649523",,"Aging in cats",2016,"Bellows J; Center S; Daristotle L; Estrada AH; Flickinger EA; Horwitz DF; Lascelles BDX; Lepine A; Perea S; Scherk M; Shoveller AK",Journal of Feline Medicine and Surgery
IND-05,"Age, health, experience, and individual differences",owner-report,yes,yes,"elderly owned domestic cats",100,"questionnaire on increased vocalization and context","cross-sectional guardian survey","reported behavior and comorbidity","vocalization patterns had multiple possible medical and behavioral correlates","owner-report; convenience sample; cannot diagnose cognitive dysfunction",supporting,"10.3390/ani10061092",32599879,"Potential causes of increased vocalisation in elderly cats with cognitive dysfunction syndrome as assessed by their owners",2020,"Černá P; Gardiner H; Sordo L; Tørnqvist-Johnsen C; Gunn-Moore DA",Animals
IND-06,"Age, health, experience, and individual differences",review,yes,no,"domestic cats with suspected cognitive dysfunction",NA,"neuropathological behavioral and clinical studies","narrative update","cognition behavior and pathology","age-related cognitive dysfunction is multifactorial and diagnosis requires exclusion of disease","review; limited feline trials; no media-specific thresholds",supporting,"10.1002/vetr.3",,"Cognitive dysfunction in cats: update on neuropathological and behavioural changes plus clinical management",2021,"Sordo L; Gunn-Moore DA",Veterinary Record
IND-07,"Age, health, experience, and individual differences",clinical-behavioral,yes,yes,"older domestic cats naturally infected with feline immunodeficiency virus and controls",NR,"standardized cognitive tasks","cross-sectional age and infection-group comparison","learning memory and executive-task performance","age and chronic health status were associated with different cognitive performance","clinical cohort; infection is a confound and not representative of healthy aging",supporting,"10.1002/vetr.1683",35512238,"Age-related cognitive impairments in domestic cats naturally infected with feline immunodeficiency virus",2022,"Azadian A; Gunn-Moore DA",Veterinary Record
